基金代码,基金名称,日期,单位净值,累计净值,日增长率,近一周增长率,近一个月增长率,近三个月增长率,近六个月增长率,近一年增长率,近两年增长率,近三年增长率,今年以来增长率,成立以来增长率,自定义增长率(当前日期向前推一年),手续费
001536	,南方君选,2020-11-24,1.4460,1.7340,-0.21,1.26,4.13,3.98,35.52,39.96,71.93,49.39,34.22,85.3913,34.7794,0.15%
720001	,财通价值动量混合,2020-11-24,3.4690,3.94,0.55,1.26,4.27,-2.91,23.36,50.04,147.79,96.24,42,359.6214,37.6158,0.15%
519224	,海富通欣荣混合A,2020-11-24,1.8066,1.8066,-0.70,1.26,4.82,4.94,39.10,48.15,100.64,71.45,38.76,80.66,38.9235,0.08%
004390	,平安转型创新混合A,2020-11-24,1.9224,2.0124,-0.34,1.26,12.28,5.11,41.94,64.70,137.60,87.55,50.21,109.3010,50.1369,0.15%
004195	,招商中证1000指数增强C,2020-11-24,1.3082,1.3082,-0.16,1.26,2.39,-2.72,27.52,51.50,91.03,40.32,40.76,30.82,48.6441,0.00%
005296	,南华丰淳混合A,2020-11-24,1.4350,1.4350,-0.75,1.26,6.08,2.27,29.07,48.32,92.54,,37.15,43.50,33.2130,0.12%
004669	,建信鑫泽回报灵活配置混合C,2020-11-24,1.3081,1.3081,-0.15,1.26,2.41,2.84,26.29,34.10,46.19,,29.59,30.81,30.2484,0.00%
002766	,新华双利债券C,2020-11-24,1.2010,1.2010,-0.25,1.26,1.95,0.67,7.33,9.08,15.70,12.98,2.04,20.10,2.5416,0.00%
006049	,恒越研究精选混合A/B,2020-11-24,1.8382,1.8382,0.14,1.26,13.52,10.31,63.08,72.73,94.79,,61.84,83.82,54.7037,0.15%
006574	,人保行业轮动混合C,2020-11-24,1.5128,1.5128,-0.48,1.26,3.16,-0.62,26.57,36.28,,,26.79,51.28,30.9765,0.00%
007192	,恒越研究精选混合C,2020-11-24,1.8328,1.8328,0.14,1.26,13.49,10.26,62.93,72.24,,,61.58,59.8744,54.1578,0.00%
008230	,九泰天辰量化新动力,2020-11-24,1.3271,1.3271,-0.17,1.26,-0.51,-6.79,33.97,,,,,32.71,36.54,0.15%
450007	,国富成长动力混合,2020-11-24,2.1647,2.3447,-1.05,1.25,7.48,2.25,38.13,46.15,96.27,46.31,36.26,154.3770,37.3603,0.15%
660006	,农银大盘蓝筹混合,2020-11-24,1.5885,1.5885,-0.52,1.25,4.35,3.17,31.43,38.25,71.19,40.01,31.75,58.85,28.7601,0.15%
519601	,海富通中国海外混合,2020-11-23,2.19,2.46,0.97,1.25,5.59,-10.02,5.29,17.11,32.73,12.08,11.56,168.5350,19.6817,0.15%
002599	,平安消费精选混合C,2020-11-24,1.4872,1.1984,-0.63,1.25,9.79,4.86,37.77,52.67,88.73,32.87,49.99,19.8449,43.2169,0.00%
400007	,东方策略成长混合,2020-11-24,4.6258,4.6258,-0.51,1.25,8.51,9.10,47.97,63.34,100.18,61.35,56.04,362.58,55.4276,0.15%
519223	,海富通欣荣混合C,2020-11-24,1.8068,1.8068,-0.71,1.25,4.80,4.88,38.95,47.86,100.76,72.27,38.51,80.68,38.6447,0.00%
004391	,平安转型创新混合C,2020-11-24,1.8850,1.97,-0.34,1.25,12.20,4.90,41.37,63.36,135.60,84.30,49.13,104.3372,48.9074,0.00%
004936	,中航混改精选混合A,2020-11-24,1.2753,1.2753,-0.20,1.25,3.56,-0.79,16.17,14.97,44.95,,9.86,27.53,14.3847,0.15%
004937	,中航混改精选混合C,2020-11-24,1.2522,1.2522,-0.21,1.25,3.55,-0.82,16.11,14.85,43.40,,9.78,25.22,14.1017,0.00%
005297	,南华丰淳混合C,2020-11-24,1.3901,1.3901,-0.76,1.25,6.05,2.15,28.86,47.74,89.39,,36.70,39.01,32.6883,0.00%
160805	,长盛同智优势混合(LOF),2020-11-24,1.1208,2.7010,-0.58,1.25,5.96,1.32,21.95,45.05,71.06,32.99,38.46,102.5854,34.7919,0.15%
007133	,嘉实长青竞争优势股票A,2020-11-24,1.4507,1.4507,-0.19,1.25,3.49,1.07,32.27,40.25,,,31.48,45.07,30.5499,0.15%
202009	,南方盛元红利混合,2020-11-24,1.4710,2.0560,-1.01,1.24,7.77,8.87,51.75,69.96,126.70,71.33,64.51,152.0279,57.3427,0.15%
002080	,前海开源一带一路混合C,2020-11-24,1.6360,1.6360,-0.67,1.24,9.14,5.28,32.47,55.22,105.53,68.14,47.25,63.60,40.4336,0.15%
002765	,新华双利债券A,2020-11-24,1.2230,1.2230,-0.24,1.24,2,0.74,7.56,9.59,16.92,14.41,2.51,22.30,2.9412,0.08%
000273	,华润元大安鑫灵活配置混合A,2020-11-24,1.7290,2.4510,-0.24,1.24,3.97,5.67,27.34,31.70,63.89,15.34,26.44,163.4906,24.7350,0.12%
003685	,汇安丰融混合C,2020-11-24,1.3951,1.3951,-0.54,1.24,4.71,3.83,29.39,25.40,32.45,33.95,23.54,39.51,20.4238,0.00%
003684	,汇安丰融混合A,2020-11-24,1.4378,1.4378,-0.54,1.24,4.72,3.86,29.46,28.50,35.86,37.65,26.58,43.78,23.3900,0.15%
519668	,银河成长混合,2020-11-24,2.3148,4.1086,-0.40,1.24,10.55,10.60,53.54,80.41,156.49,83.89,67.65,804.5689,63.8771,0.15%
006199	,长盛同锦研究精选混合,2020-11-24,1.3871,1.3871,-0.55,1.24,3.94,0.25,35.05,31.60,,,22.28,38.71,29.8341,0.15%
007134	,嘉实长青竞争优势股票C,2020-11-24,1.4364,1.4364,-0.19,1.24,3.44,0.93,31.93,39.54,,,30.88,43.64,29.8270,0.00%
