code,name,date,netAssetValue,accumulativeTotalTetValue,dailyGrowthRate,weekGrowthRate,oneMothGrowthRate,threeMothGrowthRate,sixMothGrowthRate,oneYearGrowthRate,twoYearGrowthRate,threeYearGrowthRate,nowYearGrowthRate,setUpGrowthRate,customGrowthRate,serviceChargeRate
000185	,工银添福债券B,2020-09-08,1.5660,1.7110,-0.06,-0.76,-1.69,3.78,0.77,6.31,5.40,4.37,5.10,71.9012,6.0934,0.00%
000998	,南方双元C,2020-09-08,1.1810,1.2070,-0.17,-0.76,-0.67,4.98,3.87,7.56,14.44,15.22,5.16,21.0965,7.6433,0.00%
001324	,华宝新价值混合,2020-09-08,1.4490,1.4490,0.15,-0.76,0.81,8.98,9.80,16.31,30.32,32.11,13.40,44.90,16.0225,0.15%
001687	,安信新动力混合C,2020-09-08,1.3244,1.4084,0.23,-0.76,0.48,10.16,10.44,15.88,29.34,30.88,11.70,43.1618,15.5474,0.00%
001686	,安信新动力混合A,2020-09-08,1.3402,1.4342,0.22,-0.76,0.51,10.27,10.64,16.33,30.34,32.50,11.97,46.1555,15.9858,0.08%
395011	,中海增强收益债券A,2020-09-08,1.30,1.48,0.08,-0.76,-0.23,5.61,4.67,9.70,16.38,13.84,7.71,52.2244,9.1596,0.08%
002046	,信诚新锐混合B,2020-09-08,1.1770,1.2240,0.17,-0.76,0.86,6.62,6.71,12.07,16.54,18.22,8.98,22.7153,11.8784,0.00%
519130	,海富通新内需混合A,2020-09-08,1.3080,1.75,0.08,-0.76,0.85,6.08,5.31,11.32,21.75,25.41,8.01,83.7234,11.1394,0.15%
005267	,嘉实价值精选股票,2020-09-08,1.6261,1.6261,0.33,-0.76,6.51,29.13,29.55,50.94,77.44,,34.22,62.61,49.5525,0.15%
005717	,兴业机遇债券A,2020-09-08,1.1644,1.2344,0.03,-0.76,0.09,6.45,0.87,13.42,,,9.81,24.1229,12.5956,0.08%
